image_name,timestamp,cam_x,cam_y,cam_z,heading,pitch,roll
Image_D2_M12_000116.jpeg,1746800261,234852.999,2016588.141,2284.83,-118.413,-85.927,-170.01
Image_D2_M12_000117.jpeg,1746800264,234859.177,2016596.122,2284.399,-146.756,-85.813,-176.65
Image_D2_M12_000118.jpeg,1746800266,234864.383,2016605.725,2283.888,-147.119,-84.774,-174.011
Image_D2_M12_000119.jpeg,1746800268,234869.011,2016614.842,2283.174,-148.301,-82.206,-178.067
Image_D2_M12_000120.jpeg,1746800271,234872.803,2016624.501,2282.132,141.767,-81.98,151.068
Image_D2_M12_000121.jpeg,1746800274,234866.474,2016631.849,2281.628,110.332,-84.648,172.101
Image_D2_M12_000122.jpeg,1746800276,234857.52,2016636.604,2281.251,142.179,-82.936,-156.481
Image_D2_M12_000123.jpeg,1746800278,234848.651,2016641.173,2280.505,156.98,-84.332,-139.921
Image_D2_M12_000124.jpeg,1746800292,234839.64,2016645.73,2279.848,151.308,-84.125,-146.101
Image_D2_M12_000125.jpeg,1746800297,234835.84,2016653.559,2279.151,-170.988,-86.255,168.057
Image_D2_M12_000126.jpeg,1746800299,234840.158,2016663.423,2278.617,-168.37,-85.721,167.092
Image_D2_M12_000127.jpeg,1746800302,234845.175,2016672.376,2278.05,-168.485,-85.253,158.719
Image_D2_M12_000128.jpeg,1746800304,234850.464,2016681.396,2277.418,161.739,-84.195,135.062
Image_D2_M12_000129.jpeg,1746800309,234854.959,2016690.719,2276.673,134.691,-84.562,107.178
Image_D2_M12_000130.jpeg,1746800312,234859.585,2016699.616,2276.184,140.033,-81.904,112.352
Image_D2_M12_000131.jpeg,1746800316,234864.713,2016708.934,2275.201,138.382,-81.542,110.774
Image_D2_M12_000132.jpeg,1746800319,234868.751,2016718.155,2274.321,139.122,-81.33,115.754
Image_D2_M12_000133.jpeg,1746800321,234873.252,2016727.178,2273.334,151.885,-79.426,121.404
Image_D2_M12_000134.jpeg,1746800325,234877.867,2016736.046,2271.98,154.894,-79.179,129.123
Image_D2_M12_000135.jpeg,1746800327,234882.568,2016745.596,2270.285,168.395,-79.499,140.36
Image_D2_M12_000136.jpeg,1746800329,234887.327,2016754.867,2268.602,167.722,-79.25,140.75
Image_D2_M12_000137.jpeg,1746800332,234891.918,2016763.832,2267.027,160.072,-78.287,131.931
Image_D2_M12_000138.jpeg,1746800339,234896.992,2016772.849,2265.217,139.895,-78.551,110.875
Image_D2_M12_000139.jpeg,1746800341,234901.463,2016781.807,2263.902,163.07,-82.329,136.622
Image_D2_M12_000140.jpeg,1746800344,234906.097,2016791.25,2262.76,171.066,-80.469,142.21
Image_D2_M12_000141.jpeg,1746800348,234911.09,2016800.015,2260.952,174.944,-74.831,142.85
Image_D2_M12_000142.jpeg,1746800351,234916.5,2016808.012,2258.262,158.51,-69.558,123.638
Image_D2_M12_000143.jpeg,1746800356,234917.01,2016817.288,2256.895,44.32,-79.756,85.682
Image_D2_M12_000144.jpeg,1746800358,234908.014,2016822.851,2258.288,22.284,-83.217,85.648
Image_D2_M12_000145.jpeg,1746800360,234898.669,2016827.496,2259.326,25.443,-87.786,87.631
Image_D2_M12_000146.jpeg,1746800362,234889.52,2016832.914,2259.585,150.753,-88.331,-155.423
Image_D2_M12_000147.jpeg,1746800366,234881.19,2016838.781,2259.631,107.828,-88.669,176.374
Image_D2_M12_000148.jpeg,1746800369,234871.352,2016841.102,2259.784,108.163,-88.227,161.464
Image_D2_M12_000149.jpeg,1746800382,234869.71,2016840.767,2259.837,-160.165,-87.29,125.295
Image_D2_M12_000150.jpeg,1746800386,234879.7,2016838.515,2259.662,-167.993,-87.961,71.933
Image_D2_M12_000151.jpeg,1746800389,234888.16,2016832.816,2259.586,-102.133,-87.725,132.11
Image_D2_M12_000152.jpeg,1746800391,234897.274,2016827.031,2259.397,-162.411,-84.738,79.54
Image_D2_M12_000153.jpeg,1746800393,234906.407,2016822.933,2258.513,-179.11,-81.176,69.925
Image_D2_M12_000154.jpeg,1746800395,234916.158,2016818.758,2257.11,-155.775,-78.526,81.868
Image_D2_M12_000155.jpeg,1746800398,234924.491,2016812.96,2255.319,-161.086,-74.989,75.786
Image_D2_M12_000156.jpeg,1746800400,234933.507,2016807.832,2253.103,-173.942,-76.331,70.319
Image_D2_M12_000157.jpeg,1746800402,234943.36,2016803.559,2251.142,-169.987,-78.999,77.472
Image_D2_M12_000158.jpeg,1746800404,234952.699,2016799.506,2249.456,-175.724,-80.921,66.29
Image_D2_M12_000159.jpeg,1746800407,234958.698,2016791.974,2248.544,-64.15,-83.681,111.048
Image_D2_M12_000160.jpeg,1746800410,234954.852,2016782.543,2250.075,-3.972,-76.199,143.679
Image_D2_M12_000161.jpeg,1746800413,234949.573,2016773.697,2252.598,-11.399,-78.373,139.006
Image_D2_M12_000162.jpeg,1746800415,234944.593,2016764.285,2254.611,-11.179,-80.581,142.072
Image_D2_M12_000163.jpeg,1746800419,234940.376,2016754.915,2256.242,-42.432,-78.132,111.234
Image_D2_M12_000164.jpeg,1746800423,234936.181,2016745.954,2257.959,-23.406,-76.445,130.422
Image_D2_M12_000165.jpeg,1746800427,234931.7,2016737.118,2260.302,-1.447,-77.059,150.927
Image_D2_M12_000166.jpeg,1746800429,234927.126,2016728.375,2262.514,-3.099,-76.352,148.052
Image_D2_M12_000167.jpeg,1746800432,234922.509,2016719.184,2264.9,-17.508,-78.639,146.932
Image_D2_M12_000168.jpeg,1746800435,234925.404,2016709.464,2266.124,-94.021,-83.314,133.631
Image_D2_M12_000169.jpeg,1746800437,234933.821,2016703.69,2266.077,-118.818,-87.003,122.519
Image_D2_M12_000170.jpeg,1746800440,234943.301,2016699.442,2265.969,-135.527,-88.057,108.87
Image_D2_M12_000171.jpeg,1746800444,234952.729,2016694.714,2265.908,-124.698,-88.159,117.04
Image_D2_M12_000172.jpeg,1746800447,234960.32,2016688.319,2266.016,-32.28,-85.666,167.938
Image_D2_M12_000173.jpeg,1746800450,234960.788,2016678.173,2267.091,-15.453,-81.887,147.736
Image_D2_M12_000174.jpeg,1746800452,234956.221,2016669.142,2268.701,6.687,-79.07,150.551
Image_D2_M12_000175.jpeg,1746800454,234950.536,2016660.942,2270.685,-0.527,-78.604,147.814
Image_D2_M12_000176.jpeg,1746800456,234945.803,2016651.904,2272.67,-9.787,-79.606,132.521
Image_D2_M12_000177.jpeg,1746800460,234936.98,2016649.133,2274.395,56.149,-83.968,124.665
Image_D2_M12_000178.jpeg,1746800473,234942.242,2016647.32,2273.764,43.274,-80.433,132.662
Image_D2_M12_000179.jpeg,1746800484,234941.846,2016643.05,2274.336,-10.156,-82.041,145.667
Image_D2_M12_000180.jpeg,1746800486,234936.265,2016633.673,2275.911,8.677,-82.403,154.293
Image_D2_M12_000181.jpeg,1746800487,234930.819,2016624.851,2277.314,6.125,-84.009,156.105
Image_D2_M12_000182.jpeg,1746800489,234925.265,2016614.995,2278.691,-1.528,-83.985,148.742
Image_D2_M12_000183.jpeg,1746800490,234919.804,2016605.203,2279.98,-19.918,-84.101,129.959
Image_D2_M12_000184.jpeg,1746800492,234914.213,2016595.652,2281.233,-13.946,-84.103,134.474
Image_D2_M12_000185.jpeg,1746800493,234908.646,2016586.64,2282.382,-10.162,-85.122,137.483
Image_D2_M12_000186.jpeg,1746800495,234903.024,2016577.4,2283.425,-4.526,-86.919,144.668
Image_D2_M12_000187.jpeg,1746800499,234897.769,2016568.428,2284.108,29.366,-87.026,179.759
Image_D2_M12_000188.jpeg,1746800501,234892.667,2016559.039,2284.494,-177.34,-89.687,-27.41
Image_D2_M12_000189.jpeg,1746800503,234887.267,2016549.858,2284.361,177.949,-87.277,-33.254
Image_D2_M12_000190.jpeg,1746800505,234882.148,2016541.179,2284.015,-176.343,-85.111,-26.475
Image_D2_M12_000191.jpeg,1746800506,234876.769,2016532.145,2283.327,-172.414,-84.379,-26.861
Image_D2_M12_000192.jpeg,1746800509,234870.515,2016523.86,2282.578,-151.626,-83.585,-19.245
Image_D2_M12_000193.jpeg,1746800512,234860.578,2016521.64,2282.374,-49.216,-81.15,19.813
Image_D2_M12_000194.jpeg,1746800514,234850.948,2016525.993,2283.468,-36.068,-86.562,27.84
Image_D2_M12_000195.jpeg,1746800515,234841.594,2016531.145,2283.946,-88.793,-88.442,-31.565
Image_D2_M12_000196.jpeg,1746800520,234833.013,2016536.567,2284.157,-103.301,-88.079,-45.106
Image_D2_M12_000197.jpeg,1746800523,234824.133,2016541.975,2284.24,-62.788,-88.67,-4.172
Image_D2_M12_000198.jpeg,1746800526,234815.449,2016547.155,2284.474,-41.248,-88.026,17.415
Image_D2_M12_000199.jpeg,1746800528,234806.983,2016552.522,2284.778,-7.861,-88.983,47.463
Image_D2_M12_000200.jpeg,1746800530,234798.68,2016558.198,2285.149,-12.386,-89.275,46.265
Image_D2_M12_000201.jpeg,1746800533,234789.345,2016562.097,2285.402,76.358,-89.585,167.829
Image_D2_M12_000202.jpeg,1746800536,234780.699,2016556.613,2285.446,-148.829,-88.869,-4.6
Image_D2_M12_000203.jpeg,1746800538,234775.231,2016548.123,2285.397,178.898,-88.969,-32.552
Image_D2_M12_000204.jpeg,1746800540,234769.944,2016538.684,2285.27,152.792,-86.852,-53.536
Image_D2_M12_000205.jpeg,1746800542,234765.715,2016528.973,2284.749,169.512,-82.394,-33.477
Image_D2_M12_000206.jpeg,1746800544,234761.579,2016519.285,2283.231,178.774,-76.677,-25.898
Image_D2_M12_000207.jpeg,1746800547,234757.447,2016509.952,2280.944,179.355,-76.781,-22.316
